activity_code,description_en
K742142,Oil Exploration Engineering Services
K742133,Oil Refining Engineering Services
C112010,Oil Related Services
D281108,Oil and Gas Fields Equipment Manufacturing
K742154,Oil and Gas Tanks pipes construction engineering services
C111003,Oil and Natural Gas Development
K742109,Oil and Natural Gas Exploration Consultancies
F452014,Oiland Natural Gas Pipelines Contracting
C112001,Oil and Natural Gas Well Drilling
C112004,Oil and Natural Gas Well Equipment Repairing and Maintenance
C112002,Oil and Natural Gas Well Maintenance
C112003,Oil and Natural Gas Well Reinforcement Services
G514920,Oilfield Chemicals Trading
D281116,Oilfield Drilling Equipment and Components Manufacturing
K742216,Oilfield High Pressure Equipment Testing
G515906,Oilfield and Natural Gas Equipment and Spare Parts Trading
D242904,Oilfield Chemicals Manufacturing
