company_name,business_activity,phone,email,source,emirate,activity_code,source_url,last_seen_utc,notes
FALCON OIL COMPANY .LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:49Z,contact_not_listed_in_sedd_public_view
PACIFIC OIL MARKETING CO LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:49Z,contact_not_listed_in_sedd_public_view
SHARJAH NATIONAL LUBE OIL COMPANY L.L.C,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:49Z,contact_not_listed_in_sedd_public_view
DUBAI FURNITURE IND . CO .LLC. SHJ . BR . (KING KOIL),,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:49Z,contact_not_listed_in_sedd_public_view
BEST WAY OIL FIELDS & GAS EQUIP. LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:49Z,contact_not_listed_in_sedd_public_view
ORIENT OIL CO LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:49Z,contact_not_listed_in_sedd_public_view
SHAREE AL MURQAB TYRES REP. & OIL CHANGE,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:49Z,contact_not_listed_in_sedd_public_view
NATIONAL IRANIAN OIL COMPANY SHJ. BRANCH.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:49Z,contact_not_listed_in_sedd_public_view
MAKKAH WA AL MADINAH AUTO.TYRES REP.& OIL CHANGE SERVICES,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:53Z,contact_not_listed_in_sedd_public_view
NOV BRANDT OILFIELD SERVICES MIDDLE EAST. L.L.C,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:53Z,contact_not_listed_in_sedd_public_view
AL MAHBOOB LUBRICANTS & OIL IND.LLC.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:53Z,contact_not_listed_in_sedd_public_view
CENTURY INT. OIL FIELD EQUIP.LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:53Z,contact_not_listed_in_sedd_public_view
GATE WAY OIL & GAS FIELDS SERVICES LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:53Z,contact_not_listed_in_sedd_public_view
ITIFAQ AL MADINAH TYRES REP. & OIL CHANGE,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:53Z,contact_not_listed_in_sedd_public_view
PURE OIL TRADING LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:53Z,contact_not_listed_in_sedd_public_view
AL SAFWAH OIL FIELDS SUPPLY & SERVICES LLC.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:53Z,contact_not_listed_in_sedd_public_view
AL FIDA OIL FIELD SERVICES. LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:56Z,contact_not_listed_in_sedd_public_view
AL WAND AUTO.TYRES&OIL TR.LLC.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:56Z,contact_not_listed_in_sedd_public_view
GULF SOIL & BLDG MAT. TESTING LAB.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:56Z,contact_not_listed_in_sedd_public_view
ABDULLA KARIM AUTO.TYRES REP. & OIL CHANGE,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:56Z,contact_not_listed_in_sedd_public_view
AL SABKHA OIL CHANGE & AUTO. ELECT. REP. W.SHOP,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:56Z,contact_not_listed_in_sedd_public_view
CASTLE OIL & GAS FIELDS SERVICES L.L.C,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:56Z,contact_not_listed_in_sedd_public_view
DREEM HOME OIL & DIESAL TR. LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:56Z,contact_not_listed_in_sedd_public_view
AL FAHAD AUTO. TYRES & OIL CHANGE,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:56Z,contact_not_listed_in_sedd_public_view
ABU DHABI NATIONAL OIL CO. FOR DISTRIBUTION - SHJ. BRANCH,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:59Z,contact_not_listed_in_sedd_public_view
OIL LAB. & MARINE SURVEYORS CO. LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:59Z,contact_not_listed_in_sedd_public_view
AL KASHAF OIL CHANGE SERVICES,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:59Z,contact_not_listed_in_sedd_public_view
CORROSION TECHNOLOGY SERVICES MIDDLE EAST. L L C. (OIL SERV.BR,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:59Z,contact_not_listed_in_sedd_public_view
AL ARAB & ASIA OIL FIELDS SERVICES LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:59Z,contact_not_listed_in_sedd_public_view
LIVER POOL OIL & GAS FIELDS EQUIP. MANUFACTURING LLC.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:59Z,contact_not_listed_in_sedd_public_view
EAGLE OIL REFINING COMPANY L.L.C,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:59Z,contact_not_listed_in_sedd_public_view
SEA PEARL OIL FIELDS SERVICES.LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:38:59Z,contact_not_listed_in_sedd_public_view
AL ZAFARAN OIL FIELD MACHINES & EQUIP.TR.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:02Z,contact_not_listed_in_sedd_public_view
FLOW LINE OIL FIELD SPARE PARTS TR.LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:02Z,contact_not_listed_in_sedd_public_view
BIN MALIK OIL FIELD & IND.CO.LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:02Z,contact_not_listed_in_sedd_public_view
SUN INT. OIL IND. L.L.C,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:02Z,contact_not_listed_in_sedd_public_view
CANTER LUBE OIL LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:02Z,contact_not_listed_in_sedd_public_view
AL MAMAAS SOIL INVESTIGATION & BLDG. MAT. LAB.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:02Z,contact_not_listed_in_sedd_public_view
AL GHAIS TYRES REP . & OIL CHANGE,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:02Z,contact_not_listed_in_sedd_public_view
AL RAIED OIL FILED SERVICES LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:02Z,contact_not_listed_in_sedd_public_view
REFERENCE LAB. SOIL INVESTIGATION & BLDG. MAT.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:06Z,contact_not_listed_in_sedd_public_view
COLOMBO TYRES REP.& OIL CHANGE,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:06Z,contact_not_listed_in_sedd_public_view
SAD MARAB SEED & SESAM OIL EXT. LAB.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:06Z,contact_not_listed_in_sedd_public_view
AL QUBTAN AUTO OIL CHANGE,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:06Z,contact_not_listed_in_sedd_public_view
SHARJAH OILFIELDS SUPPLY CO. LTD.,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:06Z,contact_not_listed_in_sedd_public_view
AL MAJLIS OIL & DIESEL TR. LLC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:06Z,contact_not_listed_in_sedd_public_view
AL YRMOOK DISTRIBUTION OIL STATION -ADNOC,,,,sharjah_sedd,Sharjah,,https://eservices.sedd.ae/eservicesweb/license-transactions/search_license/main-inq-lic.xhtml?lang=en,2026-01-30T07:39:06Z,contact_not_listed_in_sedd_public_view
